district,block,link,new_confirmed,confirmed,deceased,recovered,active,color,D+E
Araria,Araria,district/Araria/index.html,0,16,0,0,15,,7
Araria,Bhargama,district/Araria/index.html,0,3,0,0,3,,2
Araria,Forbesganj,district/Araria/index.html,0,15,0,0,15,,3
Araria,Jokihat,district/Araria/index.html,0,10,0,0,10,,2
Araria,Kursakanta,district/Araria/index.html,0,4,0,0,4,,0
Araria,Narpatganj,district/Araria/index.html,0,21,0,0,21,,4
Araria,Palasi,district/Araria/index.html,0,2,0,0,2,,1
Araria,Raniganj,district/Araria/index.html,0,8,0,0,8,,4
Araria,Sikti,district/Araria/index.html,0,7,0,0,7,,4
Araria,Unknown,district/Araria/index.html,0,96,2,127,0,,0
Araria,Total,district/Araria/index.html,0,181,2,127,52,orange,27
Arwal,Arwal,district/Arwal/index.html,0,22,0,1,21,,17
Arwal,Sonbhadra Banshi Surypur,district/Arwal/index.html,0,11,0,0,11,,8
Arwal,Kaler,district/Arwal/index.html,0,14,0,0,14,,3
Arwal,Karpi,district/Arwal/index.html,0,15,0,0,15,,6
Arwal,Kurtha,district/Arwal/index.html,0,8,0,0,8,,4
Arwal,Unknown,district/Arwal/index.html,0,116,1,116,0,,0
Arwal,Total,district/Arwal/index.html,0,186,1,117,68,orange,38
Aurangabad,Aurangabad,district/Aurangabad/index.html,1,49,0,1,48,,20
Aurangabad,Barun,district/Aurangabad/index.html,0,12,0,0,12,,6
Aurangabad,Daudnagar,district/Aurangabad/index.html,0,10,0,0,10,,0
Aurangabad,Deo,district/Aurangabad/index.html,0,7,0,3,4,,4
Aurangabad,Goh,district/Aurangabad/index.html,0,6,0,0,6,,0
Aurangabad,Haspura,district/Aurangabad/index.html,0,7,0,0,7,,6
Aurangabad,Kutumba,district/Aurangabad/index.html,0,8,0,0,8,,0
Aurangabad,Madanpur,district/Aurangabad/index.html,0,9,0,0,9,,6
Aurangabad,Nabinagar,district/Aurangabad/index.html,0,11,0,0,11,,9
Aurangabad,Obra,district/Aurangabad/index.html,0,6,0,0,6,,1
Aurangabad,Rafiganj,district/Aurangabad/index.html,0,3,0,0,3,,2
Aurangabad,Unknown,district/Aurangabad/index.html,0,198,1,272,0,,9
Aurangabad,Total,district/Aurangabad/index.html,1,326,1,276,49,orange,63
Banka,Amarpur,district/Banka/index.html,0,11,0,0,11,,3
Banka,Banka,district/Banka/index.html,0,40,0,0,40,,21
Banka,Barahat,district/Banka/index.html,0,6,0,0,6,,3
Banka,Belhar,district/Banka/index.html,1,15,0,0,15,,7
Banka,Bounsi,district/Banka/index.html,0,15,0,0,15,,7
Banka,Chandan,district/Banka/index.html,0,5,0,0,5,,3
Banka,Dhoraiya,district/Banka/index.html,0,28,0,0,28,,22
Banka,Fullidumar,district/Banka/index.html,0,4,0,0,4,,3
Banka,Katoriya,district/Banka/index.html,0,21,0,0,21,,10
Banka,Rajoun,district/Banka/index.html,0,15,0,0,15,,12
Banka,Shambhuganj,district/Banka/index.html,0,4,0,0,4,,2
Banka,Unknown,district/Banka/index.html,0,138,0,253,0,,15
Banka,Total,district/Banka/index.html,1,302,0,253,49,orange,108
Begusarai,Bachwara,district/Begusarai/index.html,0,7,0,2,5,,7
Begusarai,Bakhri,district/Begusarai/index.html,0,25,0,0,25,,11
Begusarai,Balia,district/Begusarai/index.html,0,13,0,1,12,,6
Begusarai,Barauni,district/Begusarai/index.html,0,15,0,3,12,,12
Begusarai,Begusarai,district/Begusarai/index.html,0,45,0,0,45,,19
Begusarai,Bhagawanpur,district/Begusarai/index.html,0,18,0,0,18,,14
Begusarai,Birpur,district/Begusarai/index.html,0,5,0,0,5,,0
Begusarai,Cheria Bariyarpur,district/Begusarai/index.html,0,17,0,0,17,,6
Begusarai,Chhourahi,district/Begusarai/index.html,0,8,0,0,8,,2
Begusarai,Dandari,district/Begusarai/index.html,0,12,0,0,12,,0
Begusarai,Gadhpura,district/Begusarai/index.html,0,23,0,0,23,,19
